position,name,country
MF,Nasser Al-Dawsari,KSA
MF,Musab Al-Juwayr,KSA
FW,Ayman Yahya,KSA
FW,Firas Al-Buraikan,KSA
FW,Salem Al-Dawsari,KSA
FW,Saleh Al-Shehri,KSA
DF,Saud Abdulhamid,KSA
DF,Nawaf Boushal,KSA
DF,Hassan Kadesh,KSA
MF,Abdullah Al-Khaibari,KSA
MF,Ziyad Al-Johani,KSA
FW,Khalid Al-Ghannam,KSA
MF,Alaa Al-Hejji,KSA
FW,Abdullah Al-Hamdan,KSA
FW,Sultan Mandash,KSA
GK,Mohammed Al-Owais,KSA
GK,Ahmed Al-Kassar,KSA
MF,Mohamed Kanno,KSA
DF,Moteb Al-Harbi,KSA
DF,Jehad Thakri,KSA
DF,Mohammed Abu Al-Shamat,KSA
GK,David Raya,ESP
DF,Marc Pubill,ESP
DF,Álex Grimaldo,ESP
DF,Eric García,ESP
DF,Marcos Llorente,ESP
MF,Mikel Merino,ESP
FW,Ferran Torres,ESP
MF,Fabián Ruiz,ESP
MF,Gavi,ESP
FW,Dani Olmo,ESP
FW,Yéremy Pino,ESP
DF,Pedro Porro,ESP
GK,Joan Garcia,ESP
DF,Aymeric Laporte,ESP
MF,Álex Baena,ESP
MF,Rodri,ESP
FW,Nico Williams,ESP
MF,Martín Zubimendi,ESP
FW,Lamine Yamal,ESP
MF,Pedri,ESP
FW,Mikel Oyarzabal,ESP
DF,Pau Cubarsí,ESP
GK,Unai Simón,ESP
DF,Marc Cucurella,ESP
FW,Víctor Muñoz,ESP
FW,Borja Iglesias,ESP
GK,Sergio Rochet,URU
DF,José María Giménez,URU
DF,Sebastián Cáceres,URU
DF,Ronald Araújo,URU
MF,Manuel Ugarte,URU
MF,Rodrigo Bentancur,URU
MF,Nicolás de la Cruz,URU
MF,Federico Valverde,URU
FW,Darwin Núñez,URU
MF,Giorgian de Arrascaeta,URU
FW,Facundo Pellistri,URU
GK,Santiago Mele,URU
DF,Guillermo Varela,URU
MF,Agustín Canobbio,URU
MF,Emiliano Martínez 2,URU
DF,Mathías Olivera,URU
DF,Matías Viña,URU
FW,Brian Rodríguez,URU
FW,Rodrigo Aguirre,URU
MF,Maximiliano Araújo,URU
FW,Federico Viñas,URU
MF,Joaquín Piquerez,URU
GK,Fernando Muslera,URU
DF,Santiago Bueno,URU
MF,Juan Manuel Sanabria,URU
